Speaker 1:  This is the trans groups.
Speaker 2:  [INAUDIBLE]
Speaker 4:  and I'm like, "Can I'm not dying?" I'm just dying and I'm like, "Can I'm not dying?" I'm just dying and I'm like, "Can I'm just dying?" I'm just dying and I'm like, "Can I'm just dying?" I'm just dying and I'm like, "Can I'm just dying?" I'm just dying and I'm like, "Can I'm just dying?" I'm just dying and I'm like, "Can I'm just dying?" I'm just dying and I'm just dying and I'm like, "Can I'm just dying?" I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and I'm just dying and
Speaker 5:  uh-huh yeah so how I've been debugging I've out
Speaker 5:  I'm running the emulator.
Speaker 5:  essentially both BSCode and Android.
Speaker 5:  studio, Android studios where I'm like looking at the device Explorer and then BS code is where I'm looking at the debugger.
Speaker 5:  And what I did is I just made some sample transcripts. I just had GPE to generate some basic like, way to customers, where the customers change the order made in order and doctor.
Speaker 6:  Could you push that in your brand? Yeah, yeah.
Speaker 5:  I was gonna open a draft VR and just kind of have that up there and then you can probably just be the same stuff. I just have decent in assets. But.
Speaker 5:  brain brain work I
Speaker 5:  was finding that I needed to add like a load text file. It doesn't what I haven't doing right now is just storing in main. I just have it storing the transcripts to the device. So that's over here. Technically the next step is to also move the file to the database.
Speaker 5:  I just saw that there's no, that I guess there is a, these transient functions that weren't there before, but.
Speaker 6:  I don't know how to use this stuff. Yeah, I need to lift the next piece. But yeah, some brown added code to her added files to the database like they exist because I can pull them. Oh, yeah. They still know where that whole they offer. No, no, those are right here. Those are within.
Speaker 5:  the yappy database. And if you use the SQLite brain.
Speaker 5:  and see the like browser that you recommended before oh my gosh that's great
Speaker 5:  You can how do I do it before oh you can download
Speaker 5:  you can save as the database.
Speaker 7:  work like this on the face.
Speaker 5:  So then you open database
Speaker 5:  just open the database and then you can see the stuff. Oh, crap, it's table. He has a few sample things in here too. I just leave him to be bigger.
Speaker 5:  No, yeah, that's part of what I was why I created examples because I also need them to be bigger to test the summer ice
Speaker 6:  I think Rachel needs him to be bigger too because Rachel's side is the one that's parsing a different relation. So I don't know what that looks like yet and we're kind of running out of time. I think the piece that I wasn't understanding which probably goes into that of.
Speaker 5:  Okay, am I in this functionality that I was creating for this one is just a restaurant example. I was loading the tax from the device. It'll be eventually from the database.
Speaker 5:  including that with restaurants-specific context. I haven't updated it for the other industries yet, but this is the pattern of the previous summer 2323 use. They tell the GPT the context.
Speaker 5:  hand have this return Jason and then send that
Speaker 5:  off to the API, I just really wasn't sure what it is I need to return because what it creates right now is the the transc like the summarized trend score.
Speaker 5:  But I guess the next step in the flow is where I'm not 100% sure. Was that? Wasn't that what Rachel was working as well? That's...
Speaker 10:  I don't know. Go ahead, Rachel.
Speaker 11:  um what you see?
Speaker 6:  How does your API, like what is your API doing? So it takes in the transcript and then what are we getting return?
Speaker 12:  I make a dress.
Speaker 5:  Yeah, I guess I don't know where to stop right now with this transcript of the sending the data off to GPT. I can send the data off and get a response. But what format do we want the response to be because it needs to be Jason so it can be parsed into different fields with the move. I think with what
Speaker 6:  ever Rachel's dad we might hopefully
Speaker 14:  - Okay, good.
Speaker 17:  We have to talk to the powers.
Speaker 18:  the colon structure is
Speaker 19:  It's getting to be the A. Yeah, it's a dust burner. That's where it is.
Speaker 20:  So, step 3, start.
Speaker 21:  starting of transmission and touch on bass
Speaker 5:  That's Bernard as well. Matt with what you were expecting Bernard that you're shoving the transcript into the database after it's completed.
Speaker 22:  I can definitely do that part currently. I just have a...
Speaker 5:  kind of raw transcript being spit out. I mean another option. So if the raw transcript is being spit out to like scream, but also that was a piece I was gonna ask. I guess.
Speaker 5:  how do we want to pass that information to the summarization piece? Because we could do it directly through some sort of API where sherpa is sending this stuff over to this open AI algorithm you know that I have here. So next step, we're like what how do we want to? We can also store it.
Speaker 6:  in the database and then I can pull from the database but I'm just well not sure. Guess of the diagram that I think Ryan or Bernard posted and what it's going to do is take that transcript store to the database because I need that for my history.
Speaker 6:  Then Rachel's code was, this is what I was tracking and don't quote me, then we're going to take that code from the database then parse it.
Speaker 5:  But there's a step between that where the information has to go to the LM for further processing it thing or there's right there it would be. Yeah.
Speaker 23:  So
Speaker 22:  I think for me, I'm steps 1, 2, and 3. I just have to...
Speaker 22:  actually go from my raw text segments with timestamps and a audio file to a just
Speaker 22:  straight text transcript that I can store in the database. I'll have to look at how Brian's implemented that.
Speaker 24:  from there.
Speaker 22:  Xander either pulls from the database or he pulls directly from me because how I currently have it is I make a conversation object and that object has a method on it to take my list of segments and condense them into a transcript so he pulls from
Speaker 25:  either one of those to a...
Speaker 26:  course.
Speaker 22:  send off to the LLM and that becomes step four, I believe.
Speaker 27:  So Rachel's API is the parse.
Speaker 5:  after returning from the hell, I'm is that correct? - Then should be.
Speaker 5:  And that's what we're matching up the order information with.
Speaker 5:  I guess deals on the UI in some way.
Speaker 6:  So you're so I would add your number four
Speaker 5:  the number four. So I believe so that the the I would be pulling from the database sending the trend.
Speaker 5:  the orange grip that Bernard has stored there to the LLM and then storing that result in the database as well and then
Speaker 27:  That's the information is present then Rachel's API would be
Speaker 5:  that summary and populating like part
Speaker 28:  bring it out.
Speaker 29:  The treating items will make a long step aside. Very good seeing.
Speaker 30:  It is the rest of the menu. Correct.
Speaker 31:  we decided that balladating menu items was our upscotch.
Speaker 27:  Well, okay, if it's not validating directly, then it's at least serving up to the user, the order.
Speaker 32:  at that point in a way.
Speaker 27:  where they're able to make edits.
Speaker 6:  He's thrown down a little bit more Rachel. Okay.
Speaker 33:  Yeah, right there. So, stores over here.
Speaker 34:  Thanks, and supporting.
Speaker 31:  I don't know. I was only the impression that we weren't handling, like specifically like...
Speaker 27:  I don't know. Like uploading the menu and ensuring that it is in menu I'd have met that restaurant I thought we had to start being out of scope. I agree that that particular thing is out of scope. I think what he wanted us to be, what he wanted the user to be able to do is to edit the summary that that.
Speaker 5:  L-L-M serves up.
Speaker 5:  Regardless of the scope that can be for that order that can be for the
Speaker 6:  that we not need step 5. So if we already have step 5, we don't need to change it because like, we'll be fine. What I think is absolutely on scope is us adding to that outside of hard coding. I think that as long as, because I
Speaker 35:  I think Rachel already did stuff by, right?
Speaker 37:  Never know, that's really fine. We just thought it was gonna be too, um, too heavy.
Speaker 27:  What is it? What is it? Valor and against just like a sample menu?
Speaker 39:  we have to take that some days like it the menu is
Speaker 41:  So, so.
Speaker 42:  We need a pretty good time.
Speaker 5:  can put them in the database and then just say what it is for that.
Speaker 43:  cover that.
Speaker 45:  I don't know where it is. Did you hard code any of that Rachel?
Speaker 46:  Like the menu items themselves, did you heart coat any of that? I was thinking the menu was taking the desktop being like, okay. Yeah, like I said, if you already have.
Speaker 5:  I thought he may remove that from the diagram when we were talking about that.
Speaker 27:  Oh wait, let me I'll just look in the sequel like thing the browser
Speaker 22:  So Brian has restaurant in there. Yeah, but not like not any kind of validation for menu item. I think that's just a just as like this is what was ordered.
Speaker 48:  or there's rice and we don't have rice
Speaker 49:  that's how you see this.
Speaker 27:  So I mean we can put menu items in the database to do this. Like if that's not out of the question. Yeah it doesn't seem like if it's the work's already done then we're waiting. So what's step six? All right.
Speaker 51:  Well, on step several days, where...
Speaker 6:  That country will see this game will work. Yep, so if first step six if it's being stored like that in the database that I'm good all I have to do is grab that data out of the database for that order pretty much exactly like that and I can be able to create
Speaker 35:  my cards so it will be good on that one. Yeah there it is in order items table. Yeah so I think we're I think we're good. That seems like you're making your chapel last year Patrick. No I was I was really hoping that that was how it was gonna get like I guess my brain remembers reading brines um well chart thing.
Speaker 35:  That's what I remember is it's going to be able to take what?
Speaker 35:  what the order was after it's been parsed by Rachel's API.
Speaker 5:  I don't think there was a status, there's a quantity.
Speaker 35:  Yeah, I don't think status is present. I wouldn't do status if I had it. Yeah, but um, he used to roll down a little bit more Rachel. Okay.
Speaker 6:  I really like what we did otherwise. It's nice. Yeah.
Speaker 52:  (muffled speaking)
Speaker 54:  Yeah, that's out of this. Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah,
Speaker 27:  Okay, so that makes sense. What do I need to provide at the end as the end step of step four? So...
Speaker 27:  I might store it into the pussy. So there's transcript text data times down.
Speaker 5:  response. So, so Bernard will be storing in the transcript text data field for a transcript. I would be storing in the transcript. Hey, I response field in this case. So we'd be writing to the same entry.
Speaker 35:  just different columns. Yeah. And then Rachel's API will take from your code, which is stored and then presented to the UI. Is there a spot for Rachel's post API stuff?
Speaker 5:  In the database then that would be she would be referencing the menu items table and then she would be populating the order items table There's also a restaurant order table. I don't know. I was to talk my head
Speaker 5:  please don't I guess she would be creating it
Speaker 57:  I rest around the order that contains order items not completely sure. So Rachel, in your...
Speaker 35:  Pull up your code real quick. Sorry.
Speaker 58:  For the restaurant.
Speaker 61:  Okay, so a transcript store order.
Speaker 51:  And I need to connect this to what I can show you guys.
Speaker 35:  So, Rachel's code will take in the information that Sanders code.
Speaker 63:  unless they're chat cheap, be king.
Speaker 35:  In Rachel's code will return to the database the parse data in a order list.
Speaker 57:  So all three of these things Bernard's that my staff and Rachel step all Access the same transcript table item in that case So we have to make sure that we're doing it in the proper order so we don't end up with a race condition
Speaker 64:  just as a note.
Speaker 65:  You can remind your whole... You can repeat that one more time.
Speaker 5:  If Bernard is storing to, Bernard will be kicking off everything by storing a new transcript. And after that is created, then I would be editing the same transcript by adding the AI response.
Speaker 66:  You know.
Speaker 27:  Yeah, so that after my step then Rachel's a key is
Speaker 27:  Taking that transcript specifically the AI response that my
Speaker 5:  generated of that transcript item and creating.
Speaker 68:  the restaurant or the based off of it or a
Speaker 5:  or a doctor visit in some of these other cases.
Speaker 28:  I'm just I'm looking at the database in front of me.
Speaker 69:  So, bye.
Speaker 70:  I'm going to steal it from my first second.
Speaker 69:  So...
Speaker 4:  Ali just might be I don't know. I don't know exactly how we're gonna do this but we might need
Speaker 35:  some code to try making sure like what Zay are talking about, but it's not trying to do everything in the wrong order. 'Cause like this obviously the new transcript has to happen first.
Speaker 71:  And then when...
Speaker 72:  (mellow music)
Speaker 69:  Then he would go through the LLM. I'm sorry I spoke her in my place.
Speaker 74:  I'm not visiting the works.
Speaker 75:  You missed the age. The line comes out.
Speaker 76:  I even fucking messaged him.
Speaker 77:  What is her agent?
Speaker 78:  Yeah, for now.
Speaker 79:  ask your parents. I don't know.
Speaker 80:  And then, the lander.
Speaker 80:  Vamber. Vamber.
Speaker 83:  Man, you got that one, right? I got lucky.
Speaker 84:  And then you are.
Speaker 86:  Oh.
Speaker 87:  I think you are would be pulling.
Speaker 88:  just orders or items or
Speaker 89:  Yes.
Speaker 5:  and we pull in some combination, because you're going to have the order, but then within each order, then you have order items.
Speaker 91:  We'll see you again.
Speaker 93:  Yeah, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um,
Speaker 27:  It's kind of confusing 'cause I think the API layer is what we would want interacting with the database and then pass the information back to the front end.
Speaker 28:  as opposed to the front end needing to call directly to the database.
Speaker 94:  and Brian.
Speaker 27:  put a lot of functionality in there to pull specific elements from the database. It just needs that bridge from the UI to the...
Speaker 95:  database in my case.
Speaker 96:  So I'm wondering where...
Speaker 63:  This bride for NARS code should be really easy like you just gonna take a transcript I say I apologize for saying in my brain not coding it right now taking the transcript and putting on the database I don't
Speaker 4:  know how to then get the LLM to know.
Speaker 6:  We would have to probably hard coat it into here.
Speaker 71:  that whenever that I would as add the transfer to the uh um
Speaker 71:  And as a run database, then it would run.
Speaker 71:  LN.
Speaker 71:  And then after LLM is done it would run API.
Speaker 71:  And then after that.
Speaker 97:  word
Speaker 63:  I wouldn't need to do anything because the UI will just take it whenever the user.
Speaker 5:  Bernard, how did you envision kicking off?
Speaker 10:  the next step after the turn.
Speaker 98:  this created.
Speaker 99:  So...
Speaker 22:  I'm still dealing with one big conversation object.
Speaker 101:  Um.
Speaker 102:  Don't think that's an issue for yeah, yeah, I think they're up no
Speaker 22:  I think basically, whenever a recording is ended,
Speaker 103:  It just gets...
Speaker 22:  moved automatically.
Speaker 22:  To the transcripts.
Speaker 22:  via the database, I think.
Speaker 104:  um yeah it is
Speaker 35:  For the UI, the UI, the first, the middle button.
Speaker 45:  I thought it was in terms of transcript text.
Speaker 4:  Our pulls from both the pulls from.
Speaker 6:  - Trans scripts, Trans script. - Yeah, and then it goes, and then UI.
Speaker 96:  right side
Speaker 105:  is.
Speaker 107:  make sense
Speaker 6:  to make sure that Bernard's code has at the very end of whenever that recording ends that it forces it to go through the HelloM.
Speaker 109:  I don't quite understand the last two lines.
Speaker 110:  we'll just get in turn it's gross. So.
